studyID,pubMedID,citation,studyScore,ethnicity,cohort,title,lastUpdated
GCST001635,22889924,Scharf JM 2012,27.968,European|Hispanic or Latin American,6745,Genome-wide association study of Tourette's syndrome.,5/8/2020
GCST001637,22895189,Timmann C 2012,62.6,Sub-Saharan African,7908,Genome-wide association study indicates two novel resistance loci for severe malaria.,5/8/2020
GCST001644,22911880,Boraska V 2012,9.322,European,3820,"Genome-wide association analysis of eating disorder-related symptoms, behaviors, and personality traits.",5/8/2020
GCST001646,22923026,Cheng I 2012,0.5,East Asian|European|Hispanic or Latin American,14746,Evaluating genetic risk for prostate cancer among Japanese and Latinos.,5/8/2020
GCST001647,22925353,Lee HJ 2012,2.35,European,3625,A genome-wide association study of seasonal pattern mania identifies NF1A as a possible susceptibility gene for bipolar disorder.,5/9/2020
GCST001648,22923054,Chen F 2012,NA,African American or Afro-Caribbean,20340,A genome-wide association study of breast cancer in women of African ancestry.,5/8/2020
GCST001649,22922875,Vithana EN 2012,12.386,East Asian|South Asian|Greater Middle Eastern|European|South East Asian,22322,Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.,5/8/2020
GCST001652,22936669,Juli� A 2012,2.35,European,5526,A genome-wide association study on a southern European population identifies a new Crohn's disease susceptibility locus at RBX1-EP300.,5/8/2020
GCST001659,22941190,Holliday EG 2012,1.5,European,66368,Common variants at 6p21.1 are associated with large artery atherosclerotic stroke.,5/7/2020
GCST001660,22941191,Diskin SJ 2012,48.046,European|African American or Afro-Caribbean,10290,Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.,5/7/2020
GCST001662,22949513,EPICURE Consortium 2012,1.25,European,6370,"Genome-wide association analysis of genetic generalized epilepsies implicates susceptibility loci at 1q43, 2p16.1, 2q22.3 and 17q21.32.",5/7/2020
GCST001664,22959728,Ahmeti KB 2012,8.456,European,9355,Age of onset of amyotrophic lateral sclerosis is modulated by a locus on 1p34.1.,5/7/2020
GCST001665,22961961,Foroud T 2012,0.75,European,3166,Genome-wide association study of intracranial aneurysms confirms role of Anril and SOX17 in disease risk.,5/7/2020
GCST001666,22961080,Li H 2012,2,South East Asian|Asian unspecified|East Asian,42868,A genome-wide association study identifies GRK5 and RASGRP1 as type 2 diabetes loci in Chinese Hans.,5/9/2020
GCST001667,22951594,Elgazzar S 2012,NA,East Asian,7352,A genome-wide association study identifies a genetic variant in the SIAH2 locus associated with hormonal receptor-positive breast cancer in Japanese.,5/7/2020
GCST001668,22956598,Peters MJ 2012,1.5,European,16568,Genome-wide association study meta-analysis of chronic widespread pain: evidence for involvement of the 5p15.2 region.,5/7/2020
GCST001670,22951725,Tang XF 2012,0.5,East Asian,18882,Association analyses identify three susceptibility Loci for vitiligo in the Chinese Han population.,5/8/2020
GCST001674,22960999,Wu C 2012,1.5,East Asian,20787,Genome-wide association analyses of esophageal squamous cell carcinoma in Chinese identify multiple susceptibility loci and gene-environment interactions.,5/7/2020
GCST001675,22961001,Su Z 2012,18.47,European,25835,Common variants at the MHC locus and at chromosome 16q24.1 predispose to Barrett's esophagus.,5/8/2020
GCST001681,23028356,Myouzen K 2012,NA,East Asian,43269,Functional variants in NFKBIE and RTKN2 involved in activation of the NF-<U+03BA>B pathway are associated with rheumatoid arthritis in Japanese.,5/7/2020
GCST001683,22976474,Siddiq A 2012,3,European|African American or Afro-Caribbean|East Asian|Hispanic or Latin American,45628,A meta-analysis of genome-wide association studies of breast cancer identifies two novel susceptibility loci at 6q14 and 20q11.,5/8/2020
GCST001685,23000144,Nakamura M 2012,NA,East Asian,2365,Genome-wide association study identifies TNFSF15 and POU2AF1 as susceptibility loci for primary biliary cirrhosis in the Japanese population.,5/8/2020
GCST001688,23028342,Sandholm N 2012,15.22,European,10919,New susceptibility loci associated with kidney disease in type 1 diabetes.,5/8/2020
GCST001689,22990015,Arning A 2012,0.5,European,270,A genome-wide association study identifies a gene network of ADAMTS genes in the predisposition to pediatric stroke.,5/8/2020
GCST001693,23007406,Yang JJ 2012,4.5,African American or Afro-Caribbean|South Asian|European|East Asian|Hispanic or Latin American,2535,Genome-wide association study identifies germline polymorphisms associated with relapse of childhood acute lymphoblastic leukemia.,5/8/2020
GCST001701,23028483,Ramasamy A 2012,3,European,33890,Genome-wide association studies of asthma in population-based cohorts confirm known and suggested loci and identify an additional association near HLA.,5/8/2020
GCST001702,23023329,Xu J 2012,4.5,East Asian,13418,Genome-wide association study in Chinese men identifies two new prostate cancer risk loci at 9q31.2 and 19q13.4.,5/7/2020
GCST001706,23041239,Traylor M 2012,10.5,European|South Asian,116823,Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE collaboration): a meta-analysis of genome-wide association studies.,5/7/2020
GCST001708,23053960,Lee YH 2012,NA,European,4948,Genome-wide pathway analysis of genome-wide association studies on systemic lupus erythematosus and rheumatoid arthritis.,5/7/2020
GCST001709,23042114,Hirota T 2012,23.75,East Asian,18320,Genome-wide association study identifies eight new susceptibility loci for atopic dermatitis in the Japanese population.,5/8/2020
GCST001714,23065704,Amin Al Olama A 2012,129,European,71669,A meta-analysis of genome-wide association studies to identify prostate cancer susceptibility loci associated with aggressive and non-aggressive disease.,5/7/2020
GCST001715,23092984,Goes FS 2012,4.7,European,10344,Genome-wide association of mood-incongruent psychotic bipolar disorder.,5/8/2020
GCST001718,23103227,Jin G 2012,4,East Asian,29811,Genetic variants at 6p21.1 and 7p15.3 are associated with risk of multiple cancers in Han Chinese.,5/8/2020
GCST001719,23104005,Gudmundsson J 2012,13.47,European,72638,A study based on whole-genome sequencing yields a rare variant at 8q24 associated with prostate cancer.,5/8/2020
GCST001720,23104006,Nyholt DR 2012,8.75,European|East Asian,19058,Genome-wide association meta-analysis identifies new endometriosis risk loci.,5/7/2020
GCST001725,23128233,Jostins L 2012,139.776,European,77064,Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.,5/8/2020
GCST001728,23128233,Jostins L 2012,139.776,European,77064,Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.,5/8/2020
GCST001729,23128233,Jostins L 2012,139.776,European,77064,Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.,5/8/2020
GCST001733,23142968,Betcheva ET 2012,NA,European,991,Whole-genome-wide association study in the Bulgarian population reveals HHAT as schizophrenia susceptibility gene.,5/7/2020
GCST001740,23143601,Lan Q 2012,22.5,East Asian,14066,Genome-wide association analysis identifies new lung cancer susceptibility loci in never-smoking women in Asia.,5/7/2020
GCST001741,23143602,Whitcomb DC 2012,19.846,European,10263,Common genetic variants in the CLDN2 and PRSS1-PRSS2 loci alter risk for alcohol-related and sporadic pancreatitis.,5/8/2020
GCST001743,23150908,Jonsson T 2012,263.13,European,24202,Variant of TREM2 associated with the risk of Alzheimer's disease.,5/7/2020
GCST001745,23160099,Justice CM 2012,21.75,European,850,A genome-wide association study identifies susceptibility loci for nonsyndromic sagittal craniosynostosis near BMP2 and within BBS9.,5/8/2020
GCST001747,23180272,Park BL 2012,0.25,East Asian,1940,Genome-wide association study of aspirin-exacerbated respiratory disease in a Korean population.,5/9/2020
GCST001749,23180869,Wu C 2012,2.5,European|East Asian,1005,Genome-wide association study of survival in patients with pancreatic adenocarcinoma.,5/8/2020
GCST001759,23209189,Tabassum R 2012,2,South Asian|European,33474,Genome-wide association study for type 2 diabetes in Indians identifies a new susceptibility locus at 2q21.,5/7/2020
GCST001766,23213074,Adams LA 2012,1,European,928,Association between liver-specific gene polymorphisms and their expression levels with nonalcoholic fatty liver disease.,5/7/2020
GCST001768,23001997,Hou S 2012,NA,East Asian,2811,Identification of a susceptibility locus in STAT4 for Beh�et's disease in Han Chinese in a genome-wide association study.,5/8/2020
GCST001769,23216389,Zuo L 2012,NA,European|African American or Afro-Caribbean,6880,Genome-wide significant association signals in IPO11-HTR1A region specific for alcohol and nicotine codependence.,5/8/2020
GCST001775,23242368,Jiang DK 2012,18.75,East Asian,11799,Genetic variants in STAT4 and HLA-DQ genes confer risk of hepatitis B virus-related hepatocellular carcinoma.,5/8/2020
GCST001776,23247143,Yu B 2012,NA,European|African American or Afro-Caribbean,11544,Association of genome-wide variation with highly sensitive cardiac troponin-T levels in European Americans and Blacks: a meta-analysis from atherosclerosis risk in communities and cardiovascular health studies.,5/8/2020
GCST001785,23266558,Yamazaki K 2012,6,East Asian,20712,A genome-wide association study identifies 2 susceptibility Loci for Crohn's disease in a Japanese population.,5/8/2020
GCST001787,23266556,Peters U 2012,17.2,East Asian|European,37523,Identification of Genetic Susceptibility Loci for Colorectal Tumors in a Genome-Wide Meta-analysis.,5/8/2020
GCST001792,23263487,Jia WH 2012,2.5,East Asian|European,45187,Genome-wide association analyses in East Asians identify new susceptibility loci for colorectal cancer.,5/8/2020
GCST001795,23273568,Yang W 2012,8,East Asian|South East Asian,15389,"Meta-analysis followed by replication identifies loci in or near CDKN1B, TET3, CD80, DRAM1, and ARID5B as associated with systemic lupus erythematosus in Asians.",5/8/2020
GCST001804,23291587,Kirino Y 2013,15.17,East Asian,5284,Genome-wide association analysis identifies new susceptibility loci for Beh�et's disease and epistasis between HLA-B*51 and ERAP1.,5/7/2020
GCST001805,23291585,Fakiola M 2013,13.088,South Asian|Hispanic or Latin American,5989,Common variants in the HLA-DRB1-HLA-DQA1 HLA class II region are associated with susceptibility to visceral leishmaniasis.,5/7/2020
GCST001807,23297363,Cordell HJ 2013,12.5,European,9723,Genome-wide association study identifies loci on 12q24 and 13q32 associated with tetralogy of Fallot.,5/8/2020
GCST001809,23300278,Saxena R 2013,10,South Asian|East Asian|European,128127,Genome-wide association study identifies a novel locus contributing to type 2 diabetes susceptibility in Sikhs of Punjabi origin from India.,5/8/2020
GCST001811,23326512,Greenwood TA 2013,1,European,3140,Genome-wide association study of irritable vs. elated mania suggests genetic differences between clinical subtypes of bipolar disorder.,5/7/2020
GCST001814,23326517,Holliday EG 2013,0.25,European|South Asian|South East Asian,23995,Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.,5/8/2020
GCST001815,23321320,Urabe Y 2013,3,East Asian,6472,A genome-wide association study of HCV-induced liver cirrhosis in the Japanese population identifies novel susceptibility loci at the MHC region.,5/8/2020
GCST001826,23349640,Vijai J 2013,NA,European,8829,Susceptibility loci associated with specific and shared subtypes of lymphoid malignancies.,5/8/2020
GCST001827,23341777,Dong J 2013,0.5,East Asian,12559,Genome-wide association study identifies a novel susceptibility locus at 12q23.1 for lung squamous cell carcinoma in han chinese.,5/7/2020
GCST001830,23349225,Hwang JY 2013,2.2,East Asian,4563,Meta-analysis identifies a MECOM gene as a novel predisposing factor of osteoporotic fracture.,5/7/2020
GCST001831,23354978,Rinella ES 2013,NA,European,1467,Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.,5/8/2020
GCST001833,23358160,B�rglum AD 2013,15.5,European,9795,Genome-wide study of association and interaction with maternal cytomegalovirus infection suggests new schizophrenia loci.,5/7/2020
GCST001836,23382809,Xu C 2013,NA,European,4500,BCL9 and C9orf5 are associated with negative symptoms in schizophrenia: meta-analysis of two genome-wide association studies.,5/7/2020
GCST001839,23358160,B�rglum AD 2013,15.5,European,9795,Genome-wide study of association and interaction with maternal cytomegalovirus infection suggests new schizophrenia loci.,5/7/2020
GCST001842,23364009,Yang X 2013,NA,East Asian,23199,Common variants at 12q24 are associated with drinking behavior in Han Chinese.,5/8/2020
GCST001845,23364394,Lee JY 2013,15.108,East Asian,13742,A genome-wide association study of a coronary artery disease risk variant.,5/7/2020
GCST001850,23377640,GENDEP Investigators 2013,47.15,European,2256,Common genetic variation and antidepressant efficacy in major depressive disorder: a meta-analysis of three genome-wide pharmacogenetic studies.,5/8/2020
GCST001851,23894747,Aberg KA 2013,3,European|African American or Afro-Caribbean|Asian unspecified,28251,A comprehensive family-based replication study of schizophrenia genes.,5/8/2020
GCST001865,23388002,Thanassoulis G 2013,521.608,African American or Afro-Caribbean|Hispanic or Latin American|East Asian|European,12985,Genetic associations with valvular calcification and aortic stenosis.,5/8/2020
GCST001874,23455491,Zuo L 2013,NA,European,11010,"NKAIN1-SERINC2 is a functional, replicable and genome-wide significant risk gene region specific for alcohol dependence in subjects of European descent.",5/7/2020
GCST001877,23453885,Smoller JW 2013,651.59,European,61220,Identification of risk loci with shared effects on five major psychiatric disorders: a genome-wide analysis.,5/8/2020
GCST001879,23468962,Song C 2013,NA,African American or Afro-Caribbean,5761,A genome-wide scan for breast cancer risk haplotypes among African American women.,5/7/2020
GCST001881,23406873,Shi Y 2013,NA,East Asian,7436,A genome-wide meta-analysis identifies two novel loci associated with high myopia in the Han Chinese population.,5/7/2020
GCST001884,23455636,Fritsche LG 2013,84.834,European|South Asian|East Asian,77255,Seven new loci associated with age-related macular degeneration.,5/8/2020
GCST001886,23455637,Iles MM 2013,68.25,European,72899,A variant in FTO shows association with melanoma risk not due to BMI.,5/7/2020
GCST001894,23472165,Albertsen HM 2013,9.8,European,16490,Genome-wide association study link novel loci to endometriosis.,5/8/2020
GCST001901,23478653,Han JY 2013,NA,,139,A genome-wide association study of survival in small-cell lung cancer patients treated with irinotecan plus cisplatin chemotherapy.,5/8/2020
GCST001905,23505323,Weissglas-Volkov D 2013,5.024,Hispanic or Latin American,4361,Genomic study in Mexicans identifies a new locus for triglycerides and refines European lipid loci.,5/7/2020
GCST001906,23502783,Weinhold N 2013,16.3,European,8966,The CCND1 c.870G>A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma.,5/7/2020
GCST001907,23502783,Weinhold N 2013,16.3,European,8966,The CCND1 c.870G>A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma.,5/8/2020
GCST001908,23502781,Germain M 2013,15.72,European,2150,Genome-wide association analysis identifies a susceptibility locus for pulmonary arterial hypertension.,5/7/2020
GCST001912,23512250,Xu H 2013,24.75,African American or Afro-Caribbean|European|Hispanic or Latin American,10284,Novel susceptibility variants at 10p12.31-12.2 for childhood acute lymphoblastic leukemia in ethnically diverse populations.,5/8/2020
GCST001916,23544013,Couch FJ 2013,120.704,European,14691,Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.,5/7/2020
GCST001917,23544013,Couch FJ 2013,120.704,European,14691,Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.,5/8/2020
GCST001919,23532257,Ma RC 2013,3,East Asian|South Asian|South East Asian|European,89883,Genome-wide association study in a Chinese population identifies a susceptibility locus for type 2 diabetes at 7q32 near PAX4.,5/7/2020
GCST001928,23535911,Kitamoto T 2013,0.5,East Asian,2510,"Genome-wide scan revealed that polymorphisms in the PNPLA3, SAMM50, and PARVB genes are associated with development and progression of nonalcoholic fatty liver disease in Japan.",5/8/2020
GCST001930,23535733,Garcia-Closas M 2013,149.58,European,87356,Genome-wide association studies identify four ER negative-specific breast cancer risk loci.,5/8/2020
GCST001934,23511034,Yang SK 2013,NA,East Asian,3646,Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.,5/7/2020
GCST001937,23535729,Michailidou K 2013,171.05,European,109797,Large-scale genotyping identifies 41 new loci associated with breast cancer risk.,5/8/2020
GCST001938,23511034,Yang SK 2013,NA,East Asian,2276,Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.,5/8/2020
GCST001941,23535730,Pharoah PD 2013,156.6,European|East Asian|Asian unspecified,49234,GWAS meta-analysis and replication identifies three new susceptibility loci for ovarian cancer.,5/8/2020
GCST001942,23535732,Eeles RA 2013,157.066,European,61925,Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.,5/9/2020
GCST001947,23565137,Miyashita A 2013,12,East Asian|European,27844,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians.",5/8/2020
GCST001953,23563607,Berndt SI 2013,38.164,European,338135,Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.,5/9/2020
GCST001954,23563607,Berndt SI 2013,38.164,European,16958,Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.,5/8/2020
GCST001955,23563607,Berndt SI 2013,38.164,European,25859,Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.,5/9/2020
GCST001956,23563607,Berndt SI 2013,38.164,European,25899,Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.,5/8/2020
GCST001957,23563609,Wheeler E 2013,97.618,European,9850,Genome-wide SNP and CNV analysis identifies common and low-frequency variants associated with severe early-onset obesity.,5/9/2020
GCST001963,23571587,Reitz C 2013,287.82,African American or Afro-Caribbean,5896,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E <U+03F5>4,and the risk of late-onset Alzheimer disease in African Americans.",5/8/2020
GCST001966,23585552,Kirin M 2013,2,European,10704,Genome-wide association study identifies genetic risk underlying primary rhegmatogenous retinal detachment.,5/9/2020
GCST001968,23583980,Fingerlin TE 2013,31.5,European,8610,Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.,5/8/2020
GCST001971,23646285,Khor SS 2013,NA,East Asian,687,Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.,5/8/2020
GCST001972,23594818,Ikeda M 2013,3,East Asian,1100,Evidence for shared genetic risk between methamphetamine-induced psychosis and schizophrenia.,5/8/2020
GCST001974,24429156,Noth I 2013,27.422,European,3341,Genetic variants associated with idiopathic pulmonary fibrosis susceptibility and mortality: a genome-wide association study.,5/8/2020
GCST001975,23594818,Ikeda M 2013,3,East Asian,234,Evidence for shared genetic risk between methamphetamine-induced psychosis and schizophrenia.,5/7/2020
GCST001977,23562823,Sheu WH 2013,NA,East Asian|Hispanic or Latin American,1592,Genome-wide association study in a Chinese population with diabetic retinopathy.,5/7/2020
GCST001981,23624525,Deng M 2013,14.25,East Asian,4848,Genome-wide association analyses in Han Chinese identify two new susceptibility loci for amyotrophic lateral sclerosis.,5/7/2020
GCST001984,23612905,Zhao SX 2013,NA,East Asian,19152,Robust evidence for five new Graves' disease risk loci from a staged genome-wide association analysis.,5/7/2020
GCST001986,23577725,Naj AC 2013,5.456,European,2101,Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.,5/8/2020
GCST001987,23577725,Naj AC 2013,5.456,European,1388,Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.,5/8/2020
GCST001992,23678272,Cheong KA 2013,NA,East Asian,588,Three new single nucleotide polymorphisms identified by a genome-wide association study in Korean patients with vitiligo.,5/7/2020
GCST001993,23648065,Low SK 2013,3,East Asian,214,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001994,23648065,Low SK 2013,3,East Asian,293,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001995,23648065,Low SK 2013,3,East Asian,380,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001996,23648065,Low SK 2013,3,East Asian,453,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001997,23648065,Low SK 2013,3,East Asian,1129,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001998,23648065,Low SK 2013,3,East Asian,1171,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST001999,23648065,Low SK 2013,3,East Asian,582,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002000,23648065,Low SK 2013,3,East Asian,93,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002001,23648065,Low SK 2013,3,East Asian,1196,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002002,23648065,Low SK 2013,3,East Asian,503,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002003,23648065,Low SK 2013,3,East Asian,306,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002004,23648065,Low SK 2013,3,East Asian,523,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002005,23648065,Low SK 2013,3,East Asian,2543,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002006,23648065,Low SK 2013,3,East Asian,316,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002007,23648065,Low SK 2013,3,East Asian,647,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002008,23648065,Low SK 2013,3,East Asian,643,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002009,23648065,Low SK 2013,3,East Asian,149,Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.,5/8/2020
GCST002010,23644492,Wu C 2013,0.5,East Asian,2393,Genome-wide association study identifies common variants in SLC39A6 associated with length of survival in esophageal squamous-cell carcinoma.,5/7/2020
GCST002012,23650146,Tang W 2013,0.5,European,51266,A genome-wide association study for venous thromboembolism: the extended cohorts for heart and aging research in genomic epidemiology (CHARGE) consortium.,5/8/2020
GCST002014,23652523,Mayerle J 2013,31.95,European,10485,Identification of genetic loci associated with Helicobacter pylori serologic status.,5/7/2020
GCST002017,23665963,Dubinsky MC 2013,NA,European,624,Multidimensional prognostic risk assessment identifies association between IL12B variation and surgery in Crohn's disease.,5/8/2020
GCST002018,23665963,Dubinsky MC 2013,NA,European,983,Multidimensional prognostic risk assessment identifies association between IL12B variation and surgery in Crohn's disease.,5/8/2020
GCST002022,23666240,Ruark E 2013,19.47,European,17078,"Identification of nine new susceptibility loci for testicular cancer, including variants near DAZL and PRDM14.",5/8/2020
GCST002023,23666239,Chung CC 2013,62.97,European,13708,Meta-analysis identifies four new loci associated with testicular germ cell tumor.,5/8/2020
GCST002025,23670970,Blackman SM 2013,6,,3753,Genetic modifiers of cystic fibrosis-related diabetes.,5/8/2020
GCST002026,23677057,Kim JJ 2013,NA,East Asian,363,Identification of KCNN2 as a susceptibility locus for coronary artery aneurysms in Kawasaki disease using genome-wide association analysis.,5/8/2020
GCST002029,23746317,Yamaguchi T 2013,NA,East Asian,520,Genome-wide association study of degenerative bony changes of the temporomandibular joint.,5/7/2020
GCST002033,23717212,Band G 2013,4.5,Sub-Saharan African|African unspecified,12316,Imputation-based meta-analysis of severe malaria in three African populations.,5/7/2020
GCST002035,23708191,Cordell HJ 2013,49.25,European,10124,Genome-wide association study of multiple congenital heart disease phenotypes identifies a susceptibility locus for atrial septal defect at chromosome 4p16.,5/8/2020
GCST002036,23708190,Hu Z 2013,4,East Asian,8217,A genome-wide association study identifies two risk loci for congenital heart malformations in Han Chinese populations.,5/8/2020
GCST002045,23722424,Rietveld CA 2013,751.65,European,126559,"GWAS of 126,559 individuals identifies genetic variants associated with educational attainment.",5/8/2020
GCST002046,23726668,Hunter AM 2013,0.25,European|Hispanic or Latin American|African American or Afro-Caribbean|Asian unspecified|Oceanian|Native American,1701,A genome-wide association study of a sustained pattern of antidepressant response.,5/8/2020
GCST002056,23727862,Savage SA 2013,28.02,European,4194,Genome-wide association study identifies two susceptibility loci for osteosarcoma.,5/8/2020
GCST002066,23749188,Tan DE 2013,15,East Asian,8358,Genome-wide association study of B cell non-Hodgkin lymphoma identifies 3q27 as a susceptibility locus in the Chinese population.,5/7/2020
GCST002073,23770605,Berndt SI 2013,22.47,European,16427,Genome-wide association study identifies multiple risk loci for chronic lymphocytic leukemia.,5/8/2020
GCST002074,23776197,Leandro-Garc�a LJ 2013,5.024,European,143,Genome-wide association study identifies ephrin type A receptors implicated in paclitaxel induced peripheral sensory neuropathy.,5/8/2020
GCST002078,23793025,Anttila V 2013,136.056,European,76534,Genome-wide meta-analysis identifies new susceptibility loci for migraine.,5/8/2020
GCST002079,23793025,Anttila V 2013,136.056,European,19147,Genome-wide meta-analysis identifies new susceptibility loci for migraine.,5/8/2020
GCST002080,23793025,Anttila V 2013,136.056,European,79357,Genome-wide meta-analysis identifies new susceptibility loci for migraine.,5/8/2020
GCST002081,23793025,Anttila V 2013,136.056,European,118710,Genome-wide meta-analysis identifies new susceptibility loci for migraine.,5/8/2020
GCST002082,23817570,Shi Y 2013,4,East Asian,15755,A genome-wide association study identifies two new cervical cancer susceptibility loci at 4q12 and 17q12.,5/7/2020
GCST002084,23817571,B�nnelykke K 2013,105.7,European,31879,Meta-analysis of genome-wide association studies identifies ten loci influencing allergic sensitization.,5/8/2020
GCST002094,23850713,Yang SK 2013,1.75,East Asian,4753,Genome-wide association study of Crohn's disease in Koreans revealed three new susceptibility loci and common attributes of genetic susceptibility across ethnic populations.,5/8/2020
GCST002095,23857890,Power RA 2013,1,European,1610,Genome-wide association analysis accounting for environmental factors through propensity-score matching: application to stressful live events in major depressive disorder.,5/8/2020
GCST002098,23872634,Bezzina CR 2013,33.3,European|East Asian,14051,"Common variants at SCN5A-SCN10A and HEY2 are associated with Brugada syndrome, a rare disease with high risk of sudden cardiac death.",5/8/2020
GCST002100,23886662,Weidinger S 2013,1.5,European,11063,A genome-wide association study of atopic dermatitis identifies loci with overlapping effects on asthma and psoriasis.,5/7/2020
GCST002101,23935489,McLaren PJ 2013,11.97,European,13581,"Association study of common genetic variants and HIV-1 acquisition in 6,300 infected cases and 7,200 controls.",5/7/2020
GCST002102,23894154,K�hler A 2013,NA,European,7872,Genome-wide association study on differentiated thyroid cancer.,5/8/2020
GCST002104,23897914,Wang H 2013,7.25,African American or Afro-Caribbean|European|Hispanic or Latin American|Oceanian|Asian unspecified,2521,A genome-wide association study (GWAS) for bronchopulmonary dysplasia.,5/7/2020
GCST002108,23921680,Kim DS 2013,NA,East Asian,76,A genome-wide association study in Koreans identifies susceptibility loci for allergic nickel dermatitis.,5/7/2020
GCST002114,23918034,K�hnisch J 2013,NA,European,668,Genome-wide association study (GWAS) for molar-incisor hypomineralization (MIH).,5/8/2020
GCST002117,23933737,Khor CC 2013,NA,East Asian,9830,Genome-wide association study identifies ZFHX1B as a susceptibility locus for severe myopia.,5/8/2020
GCST002124,23967269,Kim JH 2013,1.25,East Asian,877,A genome-wide association study of total serum and mite-specific IgEs in asthma patients.,5/8/2020
GCST002125,23967269,Kim JH 2013,1.25,East Asian,877,A genome-wide association study of total serum and mite-specific IgEs in asthma patients.,5/8/2020
GCST002126,24024966,Teumer A 2013,0.5,European,3915,Genome-wide association study of chronic periodontitis in a general German population.,5/8/2020
GCST002128,23945395,Hara K 2013,7.5,East Asian,65206,Genome-wide association study identifies three novel loci for type 2 diabetes.,5/8/2020
GCST002136,24024966,Teumer A 2013,0.5,European,2969,Genome-wide association study of chronic periodontitis in a general German population.,5/8/2020
GCST002140,23955597,Chubb D 2013,112.25,European,15682,"Common variation at 3q26.2, 6p21.33, 17p11.2 and 22q13.1 influences multiple myeloma risk.",5/8/2020
GCST002141,23962720,Speed D 2013,15.75,European,889,A genome-wide association study and biological pathway analysis of epilepsy prognosis in a prospective cohort of newly treated epilepsy.,5/8/2020
GCST002145,23989729,Feenstra B 2013,20,European,7353,"Plasma lipids, genetic variants near APOA1, and the risk of infantile hypertrophic pyloric stenosis.",5/7/2020
